"A_LEMMA","A_SYNSETID","A_TAGCOUNT","A_LEXDOMAINNAME","A_LEXDOMAINID","A_POS","A_SHOWALL","A_DEFINITION","A_SAMPLESET","A_HIDEALL","A_SENSENUM","B_LINKID","D_LINK","C_SYNSETID","C_LEXDOMAINNAME","C_LEXDOMAINID","C_POS","C_SHOWALL","C_DEFINITION","C_SAMPLESET","C_HIDEALL"
"mescal button",111784642,,"noun.plant",20,"n","mescal button#1(mescal_button%1:20:00::),sacred mushroom#1(sacred_mushroom%1:20:00::),magic mushroom#1(magic_mushroom%1:20:00::)","the button-shaped top of the mescal cactus; a source of psilocybin","","mescal button,sacred mushroom,magic mushroom",1,16,"substance meronym",103714159,"noun.artifact",6,"n","mescaline#1(mescaline%1:06:00::),peyote#2(peyote%1:06:00::)","the hallucinatory alkaloid that is the active agent in mescal buttons","","mescaline,peyote"
"peanut",111683986,,"noun.plant",20,"n","peanut#1(peanut%1:20:02::)","underground pod of the peanut vine","","peanut",1,16,"substance meronym",107605141,"noun.food",13,"n","peanut oil#1(peanut_oil%1:13:00::),groundnut oil#1(groundnut_oil%1:13:00::)","an oil from peanuts; used in cooking and making soap","","peanut oil,groundnut oil"
"spectral color",104890979,,"noun.attribute",7,"n","chromatic color#1(chromatic_color%1:07:00::),spectral colour#1(spectral_colour%1:07:00::),spectral color#1(spectral_color%1:07:00::),chromatic colour#1(chromatic_colour%1:07:00::)","a color that has hue","","chromatic color,spectral colour,spectral color,chromatic colour",1,16,"substance meronym",104906737,"noun.attribute",7,"n","chroma#1(chroma%1:07:00::),vividness#2(vividness%1:07:00::),saturation#4(saturation%1:07:00::),intensity#4(intensity%1:07:01::)","chromatic purity: freedom from dilution with white and hence vivid in hue","","chroma,vividness,saturation,intensity"
"margarine",107603306,,"noun.food",13,"n","marge#1(marge%1:13:00::),margarine#1(margarine%1:13:00::),oleomargarine#1(oleomargarine%1:13:00::),oleo#1(oleo%1:13:00::),margarin#2(margarin%1:13:00::)","a spread made chiefly from vegetable oils and used as a substitute for butter","","marge,margarine,oleomargarine,oleo,margarin",1,16,"substance meronym",114676908,"noun.substance",27,"n","trans fatty acid#1(trans_fatty_acid%1:27:00::)","a fatty acid that has been produced by hydrogenating an unsaturated fatty acid (and so changing its shape); found in processed foods such as margarine and fried foods and puddings and commercially baked goods and partially hydrogenated vegetable oils","","trans fatty acid"
"sumac",112698376,,"noun.plant",20,"n","shumac#1(shumac%1:20:00::),sumach#1(sumach%1:20:00::),sumac#2(sumac%1:20:00::)","a shrub or tree of the genus Rhus (usually limited to the non-poisonous members of the genus)","","shumac,sumach,sumac",2,16,"substance meronym",112698685,"noun.plant",20,"n","sumac#1(sumac%1:20:02::)","wood of a sumac","","sumac"
"blood serum",105334622,,"noun.body",8,"n","serum#1(serum%1:08:00::),blood serum#1(blood_serum%1:08:00::)","an amber, watery fluid, rich in proteins, that separates out when blood coagulates","","serum,blood serum",1,16,"substance meronym",114667918,"noun.substance",27,"n","serum globulin#1(serum_globulin%1:27:00::)","globulins occurring in blood serum and containing most of the antibodies of the blood","","serum globulin"
"rhodopsin",115013983,,"noun.substance",27,"n","rhodopsin#1(rhodopsin%1:27:00::),visual purple#1(visual_purple%1:27:00::),retinal purple#1(retinal_purple%1:27:00::)","a red photopigment in the retinal rods of vertebrates; dissociates into retinene by light","","rhodopsin,visual purple,retinal purple",1,16,"substance meronym",114670861,"noun.substance",27,"n","opsin#1(opsin%1:27:00::)","retinal protein formed by the action of light on rhodopsin","","opsin"
"iodopsin",115013783,,"noun.substance",27,"n","iodopsin#1(iodopsin%1:27:00::)","a violet photopigment in the retinal cones of the eyes of most vertebrates; plays a role in daylight vision","","iodopsin",1,16,"substance meronym",114670861,"noun.substance",27,"n","opsin#1(opsin%1:27:00::)","retinal protein formed by the action of light on rhodopsin","","opsin"
"hemosiderin",114953244,2,"noun.substance",27,"n","hemosiderin#1(hemosiderin%1:27:00::),haemosiderin#1(haemosiderin%1:27:00::)","a granular brown substance composed of ferric oxide; left from the breakdown of hemoglobin; can be a sign of disturbed iron metabolism","","hemosiderin,haemosiderin",1,16,"substance meronym",114795070,"noun.substance",27,"n","ferric oxide#1(ferric_oxide%1:27:00::)","a red oxide of iron","","ferric oxide"
"sulfuric acid",115018596,,"noun.substance",27,"n","oil of vitriol#1(oil_of_vitriol%1:27:00::),vitriol#1(vitriol%1:27:00::),sulphuric acid#1(sulphuric_acid%1:27:00::),sulfuric acid#1(sulfuric_acid%1:27:00::)","(H2SO4) a highly corrosive acid made from sulfur dioxide; widely used in the chemical industry","","oil of vitriol,vitriol,sulphuric acid,sulfuric acid",1,16,"substance meronym",114592881,"noun.substance",27,"n","atomic number 16#1(atomic_number_16%1:27:00::),sulphur#1(sulphur%1:27:00::),sulfur#1(sulfur%1:27:00::),S#2(s%1:27:00::)","an abundant tasteless odorless multivalent nonmetallic element; best known in yellow crystals; occurs in many sulphide and sulphate minerals and even in native form (especially in volcanic regions)","","atomic number 16,sulphur,sulfur,S"
"cloud",109184962,16,"noun.object",17,"n","cloud#2(cloud%1:17:00::)","a visible mass of water or ice particles suspended at a considerable altitude","","cloud",2,16,"substance meronym",114981351,"noun.substance",27,"n","water vapour#1(water_vapour%1:27:00::),water vapor#1(water_vapor%1:27:00::)","water in a vaporous form diffused in the atmosphere but below boiling temperature","","water vapour,water vapor"
"sassafras tree",111642404,,"noun.plant",20,"n","sassafras#1(sassafras%1:20:00::),sassafras tree#1(sassafras_tree%1:20:00::),Sassafras albidum#1(sassafras_albidum%1:20:00::)","yellowwood tree with brittle wood and aromatic leaves and bark; source of sassafras oil; widely distributed in eastern North America","","sassafras,sassafras tree,Sassafras albidum",1,16,"substance meronym",111642686,"noun.plant",20,"n","sassafras oil#1(sassafras_oil%1:20:00::)","oil from root bark of sassafras trees; used in perfumery and as a disinfectant","","sassafras oil"
"liquidambar styraciflua",112251795,,"noun.plant",20,"n","American sweet gum#1(american_sweet_gum%1:20:00::),bilsted#1(bilsted%1:20:00::),sweet gum tree#1(sweet_gum_tree%1:20:00::),Liquidambar styraciflua#1(liquidambar_styraciflua%1:20:00::),sweet gum#3(sweet_gum%1:20:01::),red gum#5(red_gum%1:20:03::)","a North American tree of the genus Liquidambar having prickly spherical fruit clusters and fragrant sap","","American sweet gum,bilsted,sweet gum tree,Liquidambar styraciflua,sweet gum,red gum",1,16,"substance meronym",112252076,"noun.plant",20,"n","liquidambar#1(liquidambar%1:20:02::),sweet gum#2(sweet_gum%1:20:02::)","aromatic exudate from the sweet gum tree","","liquidambar,sweet gum"
"lignum vitae",112657551,,"noun.plant",20,"n","Guaiacum officinale#1(guaiacum_officinale%1:20:00::),lignum vitae#2(lignum_vitae%1:20:00::)","small evergreen tree of Caribbean and southern Central America to northern South America; a source of lignum vitae wood, hardest of commercial timbers, and a medicinal resin","","Guaiacum officinale,lignum vitae",2,16,"substance meronym",112658248,"noun.plant",20,"n","guaiacum#1(guaiacum%1:20:03::)","medicinal resin from the lignum vitae tree","","guaiacum"
"myoglobin",114950887,,"noun.substance",27,"n","myoglobin#1(myoglobin%1:27:00::)","a hemoprotein that receives oxygen from hemoglobin and stores it in the tissues until needed","","myoglobin",1,16,"substance meronym",114951278,"noun.substance",27,"n","haem#1(haem%1:27:00::),haemitin#1(haemitin%1:27:00::),protoheme#1(protoheme%1:27:00::),heme#1(heme%1:27:00::),hematin#1(hematin%1:27:00::)","a complex red organic pigment containing iron and other atoms to which oxygen binds","","haem,haemitin,protoheme,heme,hematin"
"vitreous humor",105250087,,"noun.body",8,"n","vitreous body#1(vitreous_body%1:08:00::),vitreous humour#1(vitreous_humour%1:08:00::),vitreous humor#1(vitreous_humor%1:08:00::)","the clear colorless transparent jelly that fills the posterior chamber of the eyeball","","vitreous body,vitreous humour,vitreous humor",1,16,"substance meronym",114838773,"noun.substance",27,"n","hyaluronic acid#1(hyaluronic_acid%1:27:00::)","a viscous mucopolysaccharide found in the connective tissue space and the synovial fluid of movable joints and the humors of the eye; a cementing and protective substance","","hyaluronic acid"
