"MORPHID","LEMMA","POS","MORPH"
634,"char","v","charred"
633,"chary","a","chariest"
632,"chary","a","charier"
636,"chasid","n","chasidim"
637,"chassid","n","chassidim"
642,"chat","v","chatting"
639,"chat","v","chatted"
638,"chateau","n","chateaux"
641,"chatty","a","chattiest"
640,"chatty","a","chattier"
644,"cheeky","a","cheekiest"
643,"cheeky","a","cheekier"
646,"cheery","a","cheeriest"
645,"cheery","a","cheerier"
648,"cheesy","a","cheesiest"
647,"cheesy","a","cheesier"
589,"castrato","n","castrati"
602,"cat","v","catting"
599,"cat","v","catted"
590,"catalysis","n","catalyses"
604,"catch","v","caught"
592,"catchy","a","catchiest"
591,"catchy","a","catchier"
593,"catena","n","catenae"
594,"catfish","n","catfishes"
595,"cathexis","n","cathexes"
597,"catnap","v","catnapping"
596,"catnap","v","catnapped"
598,"cattalo","n","cattaloes"
601,"catty","a","cattiest"
600,"catty","a","cattier"
603,"caudex","n","caudices"
605,"cavetto","n","cavetti"
607,"cavil","v","cavilling"
606,"cavil","v","cavilled"
608,"cecum","n","ceca"
609,"cembalo","n","cembali"
610,"centesimo","n","centesimi"
611,"centrum","n","centra"
612,"cer","a","cer"
614,"cercaria","n","cercariiae"
613,"cercaria","n","cercariae"
753,"cleave","v","cloven"
752,"cleave","v","clove"
737,"cleave","v","cleft"
738,"clepsydra","n","clepsydrae"
761,"cling","v","clung"
739,"clingfish","n","clingfishes"
741,"clip","v","clipping"
740,"clip","v","clipped"
742,"cloaca","n","cloacae"
744,"clog","v","clogging"
743,"clog","v","clogged"
746,"clop","v","clopping"
745,"clop","v","clopped"
747,"clostridium","n","clostridia"
749,"clot","v","clotting"
748,"clot","v","clotted"
722,"clothe","v","clad"
751,"cloudy","a","cloudiest"
750,"cloudy","a","cloudier"
754,"cloverleaf","n","cloverleaves"
758,"club","v","clubbing"
755,"club","v","clubbed"
757,"clubby","a","clubbiest"
756,"clubby","a","clubbier"
760,"clumsy","a","clumsiest"
759,"clumsy","a","clumsier"
762,"clypeus","n","clypei"
675,"chisel","v","chiselling"
674,"chisel","v","chiselled"
677,"chitchat","v","chitchatting"
676,"chitchat","v","chitchatted"
681,"chivy","v","chivvying"
680,"chivy","v","chivvies"
679,"chivy","v","chivvied"
678,"chivy","v","chivied"
657,"chivy","v","chevying"
656,"chivy","v","chevies"
655,"chivy","v","chevied"
683,"chlamys","n","chlamyses"
682,"chlamys","n","chlamydes"
684,"chondrify","v","chondrified"
685,"chondroma","n","chondromata"
694,"choose","v","chosen"
693,"choose","v","chose"
687,"choosy","a","choosiest"
686,"choosy","a","choosier"
691,"chop","v","chopping"
688,"chop","v","chopped"
690,"choppy","a","choppiest"
689,"choppy","a","choppier"
692,"choragus","n","choragi"
695,"chou","n","choux"
696,"chrysalis","n","chrysalides"
698,"chubby","a","chubbiest"
697,"chubby","a","chubbier"
700,"chug","v","chugging"
699,"chug","v","chugged"
704,"chum","v","chumming"
701,"chum","v","chummed"
703,"chummy","a","chummiest"
702,"chummy","a","chummier"
706,"chunky","a","chunkiest"
705,"chunky","a","chunkier"
707,"chuvash","n","chuvashes"
708,"cicada","n","cicadae"
709,"cicala","n","cicale"
710,"cicatrix","n","cicatrices"
711,"cicerone","n","ciceroni"
712,"cilium","n","cilia"
713,"cimex","n","cimices"
714,"cinerarium","n","cineraria"
715,"cingulum","n","cingula"
717,"cirrocumulus","n","cirrocumuli"
718,"cirrostratus","n","cirrostrati"
716,"cirrus","n","cirri"
719,"cisco","n","ciscoes"
720,"cisterna","n","cisternae"
721,"citify","v","citified"
723,"clad","v","cladding"
727,"clam","v","clamming"
724,"clam","v","clammed"
