"LEMMA","POS","POLYSEMY_CNT"
"chokecherry","n",2
"cyclone","n",2
"umteen","s",1
"prunella modularis","n",1
"librarianship","n",1
"get one's lumps","v",1
"obduracy","n",1
"vaporizer","n",1
"river dolphin","n",1
"belloc","n",1
"organic law","n",1
"solipsism","n",1
"order hymenogastrales","n",1
"biochemical mechanism","n",1
"genus allosaurus","n",1
"peter o'toole","n",1
"corn dance","n",1
"alexandria senna","n",1
"octoberfest","n",1
"sea lane","n",1
"babylon","n",1
"borate","n",1
"regression","n",4
"genus progne","n",1
"reconstructive memory","n",1
"home territory","n",1
"seventy-one","s",1
"temporary state","n",1
"gunnery","n",1
"genus pteretis","n",1
"malawi","n",1
"g clef","n",1
"nonspatial","a",1
"on a lower floor","r",1
"wholesale","r",2
"agreed","s",1
"unmeritorious","s",1
"magnetise","v",2
"evocation","n",3
"seasonable","a",1
"genus apatura","n",1
"woodland star","n",1
"rhomb","n",1
"celtic cross","n",1
"obstreperousness","n",1
"wormhole","n",1
"wine tasting","n",1
"sea power","n",2
"pyromaniac","n",1
"oil shale","n",1
"tortoiseshell-cat","n",1
"pilocarpine","n",1
"malva neglecta","n",1
"tumescence","n",1
"steel wool","n",1
"talker identification","n",1
"family myrmeleontidae","n",1
"poison milkweed","n",1
"meadow-beauty family","n",1
"scoured","s",1
"suborner","n",1
"home secretary","n",1
"cattle guard","n",1
"keel arch","n",1
"trumbull","n",3
"capital of maryland","n",1
"burnside","n",2
"drive home","v",2
"banal","s",1
"uncial","a",1
"musical score","n",1
"social status","n",1
"non-proliferation","n",1
"consolidation","n",3
"house of cards","n",2
"republish","v",2
"topographic","a",1
"cruet","n",1
"stabber","n",1
"ski boot","n",1
"tympanuchus cupido","n",1
"fueled","a",1
"spodoptera","n",1
"decimation","n",1
"calycophyllum","n",1
"english language","n",1
"tape-recorded","s",1
"necromancy","n",2
"combustibleness","n",1
"john wanamaker","n",1
"powder monkey","n",1
"paleogeology","n",1
"calixtus iii","n",1
"vacationing","n",1
"notonectidae","n",1
"foreign mission","n",2
"truancy","n",1
"painter","n",4
"anastalsis","n",1
"china cabinet","n",1
"jinrikisha","n",1
"backbeat","n",1
"lambda hyperon","n",1
"clinch river","n",1
"ileus","n",1
"morosoph","n",1
"myocardial infarct","n",1
"pleading","n",1
"numb","s",3
"dilatation","n",2
"regardless","r",1
"jarringly","r",1
"croquet","v",2
"envious","s",1
"queen-sized","s",1
"persecute","v",1
"beard","v",1
"militarization","n",1
"comose","s",2
"unthaw","v",1
"automotive","s",1
"mars","n",2
"salver","n",1
"verdure","n",2
"fair deal","n",1
"carpel","n",1
"early-morning hour","n",1
"council board","n",1
"red tape","n",1
"full dress","n",1
"lignin","n",1
"pfannkuchen","n",1
"baby-sitter","n",1
"padded","s",1
"depositor","n",1
"valgus","n",1
"adenosine triphosphate","n",1
"frown on","v",1
"beaver away","v",1
"mortuary","a",2
"major tranquilizer","n",1
"black cherry tree","n",1
"scavenger cell","n",1
"quercus variabilis","n",1
"master of science","n",1
"new world porcupine","n",1
"four-poster","n",1
"kiggelaria","n",1
"nonexploratory","a",1
"property man","n",1
"women's liberationist","n",1
"forum","n",2
"car tire","n",1
"parotid vein","n",1
"any","s",1
"once","r",3
"illegitimately","r",2
"imprudently","r",1
"biz","n",1
"wyvern","n",1
"saccharum bengalense","n",1
"instillator","n",1
"duplicity","n",2
"breastless","a",1
"marinara","n",1
"estate car","n",1
"tightfisted","s",1
"northern beech fern","n",1
"celestial point","n",1
"pork belly","n",1
"equalize","v",2
"fagales","n",1
"d.j.","n",1
"lolium temulentum","n",1
"internal spermatic artery","n",1
"radiopaque dye","n",1
"mesalliance","n",1
"square nut","n",1
"bolero","n",3
"hypnotized","s",1
"moviemaking","n",1
"salvadoran capital","n",1
"dissatisfied","s",1
"hallucinate","v",1
"jamaica rum","n",1
"projective test","n",1
"custom","a",1
"fallen arch","n",1
"inexpedient","s",1
"natural process","n",1
"transplacental","s",1
"comprehend","v",3
"jumbo","s",1
"venezuelan","a",1
"unbrace","v",3
"methacrylic acid","n",1
"yashmak","n",1
"marguerite radclyffe hall","n",1
"resistor","n",1
"islamic group","n",2
"honor guard","n",1
"voicelessness","n",3
"chaldron","n",1
"dorsoventral","s",1
"mountain trail","n",1
"jassidae","n",1
"blue-eyed grass","n",1
"rescue operation","n",1
"dutch uncle","n",1
"sandor kellner","n",1
"embellishment","n",3
"genus azolla","n",1
"token","n",4
"daniel garrison brinton","n",1
"teilhard de chardin","n",1
"impenitent","s",1
"mozambican","a",2
"inextinguishable","a",1
"littered","s",1
"landwards","r",1
"taxi rank","n",1
"unreliable","a",1
"airless","s",1
"piggish","s",1
"easterly","s",2
"overleaf","r",1
"thymol","n",1
"malay peninsula","n",1
"chaldean","a",1
"aplodontia","n",1
"daylight-saving time","n",1
"centare","n",1
"genus tetrahymena","n",1
"legalisation","n",1
"rock plant","n",1
"summate","v",2
"carrageen","n",1
"limnocryptes","n",1
"improvidence","n",1
"augean stables","n",1
"crozier","n",1
"genus hippodamia","n",1
"yamamoto","n",1
"mismated","s",1
"irvingia gabonensis","n",1
"anagallis tenella","n",1
"chironomidae","n",1
"ventriloquist's dummy","n",1
"telluride","n",1
"cattle grid","n",1
"rightness","n",4
"obovate","s",1
"leading off","n",1
"megatherian","n",1
"feoff","n",1
"classical mechanics","n",1
"treadwheel","n",1
"narcotise","v",1
"upturn","n",1
"left-slanting","s",1
"narcissistic personality","n",1
"genus calliophis","n",1
"evaporated milk","n",1
"liberator","n",1
"backcloth","n",1
"coal","v",3
"deodorize","v",1
"furiously","r",3
"beaded","s",1
"toxic","a",1
"sender","n",2
"about","s",1
"eec","n",1
"fibrocartilage","n",1
"liao dynasty","n",1
"eye dialect","n",1
"lee harvey oswald","n",1
"java pepper","n",1
"deer grass","n",1
"masorete","n",1
"blowing","n",1
"spikemoss","n",1
"orthochromatic film","n",1
"free verse","n",1
"vasarely","n",1
"granulation tissue","n",1
"31st","s",1
"lyly","n",1
"hispaniola","n",1
"genus terebella","n",1
"catananche","n",1
"bomb shelter","n",1
"noncommercial","a",1
"shoe string","n",2
"angevin","n",1
"centaurea","n",1
"seating area","n",1
"inherence","n",1
"misappropriate","v",1
"point of apoapsis","n",1
"inlay","v",1
"nodding thistle","n",1
"fireman","n",4
"impostor","n",1
"x-linked dominant inheritance","n",1
"shirtsleeve","n",1
"haricots verts","n",1
"lea","n",2
"appetizer","n",1
"rec room","n",1
"spanish tamarind","n",1
"elizabeth river","n",1
"gasmask","n",1
"genus zonotrichia","n",1
"genus betula","n",1
