"LEMMA","POS","POLYSEMY_CNT"
"tax-free","s",1
"ion pump","n",1
"us navy","n",1
"trailing four o'clock","n",1
"petty apartheid","n",1
"alder dogwood","n",1
"rachycentron canadum","n",1
"homoeroticism","n",1
"unsociableness","n",1
"chaetognath","n",1
"fall short","v",1
"guenevere","n",1
"paraprofessional","n",1
"helen keller","n",1
"hdl cholesterol","n",1
"cox's orange pippin","n",1
"vertebrate foot","n",1
"signal level","n",1
"topsail","n",1
"silly season","n",1
"conduction deafness","n",1
"intervertebral","a",1
"stovepipe iron","n",1
"superheterodyne receiver","n",1
"thick","n",1
"foreordained","s",1
"intransitivise","v",1
"sustainment","n",1
"motion","v",1
"inlaid","s",1
"colonic","a",1
"helianthus petiolaris","n",1
"synchronizer","n",1
"fearlessness","n",2
"momotus","n",1
"plane table","n",1
"protea mellifera","n",1
"denturist","n",1
"oliver","n",1
"physostegia virginiana","n",1
"new river gorge bridge","n",1
"hard cider","n",1
"white-topped aster","n",1
"melampsoraceae","n",1
"shanghaier","n",1
"rheumatoid factor","n",1
"bindweed","n",1
"leonotis","n",1
"lambda","n",2
"genus spartina","n",1
"acarine","n",1
"acceptability","n",1
"payroll department","n",1
"kitchenette","n",1
"polar front","n",1
"archil","n",2
"hemimetamorphous","s",1
"best of all","r",1
"ovalbumin","n",1
"rub along","v",1
"antitumor","a",1
"albizzia","n",1
"kidney bean","n",2
"percoid","n",1
"one-step","v",1
"resell","v",1
"dyskinesia","n",1
"adenoma","n",1
"stock cube","n",1
"pyaemia","n",1
"side road","n",1
"parnahiba","n",1
"merino","n",1
"insectivorous","a",1
"culvers root","n",1
"soundman","n",1
"nodulose","s",1
"carcharhinidae","n",1
"blebbed","s",1
"salve","n",2
"peplum","n",2
"buckbean","n",1
"glassful","n",1
"bottlenose dolphin","n",1
"plyers","n",1
"diatonic scale","n",1
"mountaineer","v",1
"genus musca","n",1
"domain of a function","n",1
"common chord","n",1
"fade out","v",1
"reinvent","v",2
"spar","v",4
"talk shop","v",1
"zed","n",1
"ivan iii vasilievich","n",1
"meshuggeneh","s",1
"sulfuric acid","n",1
"unhelpful","a",1
"platelayer","n",1
"veronica serpyllifolia","n",1
"vishnu","n",1
"geostationary orbit","n",1
"dolichocephaly","n",1
"mosstone","s",1
"lolita","n",1
"mason city","n",1
"refractory pot","n",1
"pig it","v",1
"crowbar","n",1
"rhomboid minor muscle","n",1
"samovar","n",1
"faun","n",1
"calcium ion","n",1
"chrome","n",1
"motortruck","n",1
"grassy-leafed","s",1
"nike","n",1
"genus swietinia","n",1
"family scrophulariaceae","n",1
"austrian monetary unit","n",1
"genus eudyptes","n",1
"ropey","s",2
"intransigent","s",1
"unseasonably","r",1
"holey","s",1
"appurtenant","s",1
"genus contopus","n",1
"silver gray","n",1
"tss","n",1
"zapus hudsonius","n",1
"bomb calorimeter","n",1
"seasonal","n",1
"pyralidae","n",1
"aloneness","n",1
"colonised","s",1
"gagster","n",1
"exobiology","n",1
"lanius excubitor","n",1
"sit-down strike","n",1
"leontopodium alpinum","n",1
"innocuous","a",1
"sawwort","n",1
"stillbirth","n",1
"helpfulness","n",2
"tsarina","n",1
"war correspondent","n",1
"genus cedrus","n",1
"diacetylmorphine","n",1
"single file","n",1
"calumniation","n",1
"aileron","n",1
"pothole","n",1
"customer","n",1
"genus colchicum","n",1
"ashram","n",2
"octane number","n",1
"effeminize","v",1
"uncheerful","a",1
"uninventive","s",1
"planted","s",1
"moho","n",1
"glue","v",2
"cocksure","s",1
"kilometre","n",1
"genus astreus","n",1
"box end wrench","n",1
"ditch reed","n",1
"le gallienne","n",1
"shigellosis","n",1
"rucksack","n",1
"id al-fitr","n",1
"snake doctor","n",1
"genus scaphosepalum","n",1
"destroyer escort","n",1
"bull pine","n",1
"sun marigold","n",1
"verbal intelligence","n",1
"haematopoiesis","n",1
"mineral extraction","n",1
"clog dancer","n",1
"genus rattus","n",1
"contingence","n",1
"bayesian","a",1
"boocercus eurycerus","n",1
"digitalis glycoside","n",1
"animal scientist","n",1
"publican","n",1
"vertigo","n",1
"carl lewis","n",1
"bebop","n",1
"confuter","n",1
"house physician","n",1
"especial","s",1
"accentuate","v",2
"land line","n",1
"stocked","s",1
"alphabetise","v",1
"begonia tuberhybrida","n",1
"state of israel","n",1
"denebola","n",1
"mexican bean beetle","n",1
"asinine","s",1
"andre eglevsky","n",1
"fahd","n",1
"clew","v",1
"khimar","n",1
"dracunculus medinensis","n",1
"asyndetic","a",1
"sweet reseda","n",1
"attenuate","v",2
"ammonium ion","n",1
"uremic","a",1
"chenopodium glaucum","n",1
"hand clapping","n",1
"bryce canyon national park","n",1
"metrical foot","n",1
"baffle board","n",1
"kapuka","n",1
"serranidae","n",1
"thyrse","n",1
"genetic profiling","n",1
"gazella","n",1
"haematal","a",1
"east","a",1
"genus chaenactis","n",1
"transaction","n",1
"treasurer's cheque","n",1
"disbelieving","s",1
"pathologically","r",1
"out of this world","s",1
"nitrogen narcosis","n",1
"adhocracy","n",1
"bigeminal","s",1
"angry","a",1
"twirlingly","r",1
"saporous","s",1
"forensics","n",1
"auditory center","n",1
"aerosolized","s",1
"vetchling","n",1
"armoured combat vehicle","n",1
"mwera","n",1
"atomic number 97","n",1
"neocon","n",1
"wing case","n",1
"zarathustra","n",1
"intercellular","a",1
"triple cream","n",1
"family hypodermatidae","n",1
"mouse-ear cress","n",1
"open weave","n",1
"wheelbase","n",1
"rudolf ludwig mossbauer","n",1
"undynamic","a",1
"genus clethra","n",1
"corticosterone","n",1
"esophageal smear","n",1
"contact lens","n",1
"well out","v",1
"intragroup","s",1
".38 caliber","a",1
"beneficiary","a",1
"bring to bear","v",1
"set in motion","v",1
"emotionlessly","r",1
"tonsillectomy","n",1
"chafflike","a",1
"circulating library","n",1
"john heming","n",1
"silicic acid","n",1
"nitta tree","n",1
"table lamp","n",1
"genus aepyceros","n",1
"lunar excursion module","n",1
"west african","n",1
"sanitarium","n",1
"acetone body","n",1
"portuguese guinea","n",1
"atomic power","n",1
"concrete","n",1
"long-sufferance","n",1
"chroma","n",1
"family sclerotiniaceae","n",1
"willard huntington wright","n",1
"dalea","n",1
"coscoroba","n",1
"sciaenid","n",1
"erolia","n",1
"carew","n",1
"breadbox","n",1
"insentience","n",1
"anas querquedula","n",1
"advantageousness","n",1
"celosia","n",1
"flamefish","n",1
"savitar","n",1
"genus ornithogalum","n",1
"parallel-park","v",1
"sawhorse","n",1
"unabridged","n",1
"trial and error","n",1
"decease","v",1
"archetypal","s",1
"accordance","n",2
"compound","a",1
"unpardonably","r",1
"touristry","n",1
"utility program","n",1
"gog and magog","n",1
"upscale","s",1
"vote in","v",1
"also known as","r",1
"klick","n",1
"gasoline engine","n",1
"john dory","n",1
"chicken run","n",1
"hoecake","n",1
"carob powder","n",1
"gamma ray","n",1
"ploughwright","n",1
"cephalochordata","n",1
"california sea lion","n",1
"katharine hepburn","n",1
"ezo-yama-hagi","n",1
"tastefulness","n",1
"pious platitude","n",1
"chicle","n",1
"xxxv","s",1
"book of daniel","n",1
"common mackerel","n",1
"ideologue","n",1
"visualizer","n",1
"24-karat gold","n",1
"rodentia","n",1
"abronia latifolia","n",1
"card sharper","n",1
"t hinge","n",1
"wild pea","n",1
"stokowski","n",1
"even spacing","n",1
"transportation system","n",1
"suborder homoptera","n",1
"nucifraga","n",1
"igloo","n",1
"potato race","n",1
"x-axis","n",1
"good old days","n",1
"matrix operation","n",1
"palsied","s",1
"tactual","a",1
"hyperopia","n",1
"lappet caterpillar","n",1
"balistes","n",1
"calabar bean","n",1
"cog","v",2
"hyperhidrosis","n",1
"fort ticonderoga","n",1
"primary solid solution","n",1
"short-toed eagle","n",1
"handsbreadth","n",1
"tuskegee","n",1
"tahitian","n",2
"tobacco shop","n",1
"benjamin shahn","n",1
"idiolect","n",1
"women's army corps","n",1
"eunectes","n",1
"semarang","n",1
"revolve about","v",1
"desalinize","v",1
"trustingly","r",1
"assentient","s",1
"handbill","n",1
"niggardly","s",1
"actively","r",1
"cursed with","s",1
"sand dollar","n",1
"right fielder","n",1
"yellow parilla","n",1
"toby","n",1
"steam pipe","n",1
"cubital","a",1
"car boot sale","n",1
"turritis","n",1
"categoric","a",1
"full moon maple","n",1
"genus hipposideros","n",1
"malva sylvestris","n",1
"piety","n",1
"collegiate dictionary","n",1
"espresso","n",1
"intermediator","n",1
"kelt","n",1
"automotive vehicle","n",1
"banksia","n",1
"bank shot","n",1
"furane","n",1
"erlenmeyer flask","n",1
"postdate","v",2
"hydroelectric turbine","n",1
"bacteria bed","n",1
"ohio state university","n",1
"malacopterygii","n",1
"shangri-la","n",1
"oxidation-reduction","n",1
"love-philtre","n",1
"yuman","n",1
"tribologist","n",1
"pyramiding","n",1
"genus gentiana","n",1
"vitaceae","n",1
"curdling","n",1
"trash dump","n",1
"flagellate protozoan","n",1
"monetary value","n",1
"unassertively","r",1
"joining","n",1
"textual","a",1
"beadlike","s",1
"prissily","r",1
"high-potential","s",1
"worthy","a",1
"peoples","n",1
"steadying","s",1
"game","v",1
"void","s",2
"mansion house","n",1
"grey sole","n",1
"dale","n",1
"logic gate","n",1
"registered representative","n",1
"eschrichtius","n",1
"serge koussevitzky","n",1
"killer t cell","n",1
"n.m.","n",1
"renal failure","n",1
"dumdum fever","n",1
"codariocalyx motorius","n",1
"family umbelliferae","n",1
"kilowatt","n",1
"vesicant","s",1
"akaba","n",1
"bacteriology","n",1
"animal tissue","n",1
"coralroot","n",1
"number crunching","n",1
"valvulitis","n",1
"yellowfin croaker","n",1
"poster boy","n",1
"liquefaction","n",1
"deuteromycota","n",1
"weather side","n",1
"web-toed","s",1
"research director","n",1
"roquefort","n",1
"master in public affairs","n",1
"paseo","n",1
"peak","v",1
"reparable","a",1
"reprove","v",1
"ghostwrite","v",1
"guy cable","n",1
"dragon arum","n",1
"x","s",1
"turkmenia","n",1
"chicken wing","n",1
"polygala alba","n",1
"sir william gerald golding","n",1
"undersell","v",1
"tupelo family","n",1
"stoloniferous","a",1
"holcus mollis","n",1
"live-and-die","n",1
"long-beard","n",1
"torsion balance","n",1
"hypophysis","n",1
"filter-tipped cigarette","n",1
"alsobia dianthiflora","n",1
"catcher","n",2
"cive","n",1
"soil profile","n",1
"vatican ii","n",1
"straight chair","n",1
"traumatic epilepsy","n",1
"lahar","n",1
"densitometry","n",1
"wave off","v",1
"evert","v",1
"east pakistani","a",1
"nutty","s",2
"bear down upon","v",1
"knotgrass","n",1
"cenobitic","a",1
"deskman","n",1
"integumental","a",1
"american antelope","n",1
"hundred-and-fifth","s",1
"simper","n",1
"breeder","n",1
"schizophyta","n",1
"tulipa gesneriana","n",1
"edginess","n",1
"inevitability","n",1
"vena pulmonalis superior","n",1
"stonewaller","n",1
"commiphora meccanensis","n",1
"very softly","r",1
"centrosema virginianum","n",1
"quiff","n",1
"irrelevancy","n",1
"atomic number 45","n",1
"zamia","n",1
"lysine intolerance","n",1
"daughter","n",1
"overfly","v",1
"hard line","n",1
"up to her neck","s",1
"sowbelly","n",1
"freudian slip","n",1
"enki","n",1
"plant department","n",1
"harkat-ul-jihad-e-islami","n",1
"elaphe obsoleta","n",1
"49","s",1
"mediterranean snapdragon","n",1
"genus notropis","n",1
"orbignya spesiosa","n",1
"purple locoweed","n",1
"rabbit hutch","n",1
"special court-martial","n",1
"cash register","n",1
"family zingiberaceae","n",1
"blotting paper","n",1
"nawcwpns","n",1
"fritillaria recurva","n",1
"thiouracil","n",1
"syphon","v",1
"white elm","n",1
"autacoidal","a",1
"carcharhinus obscurus","n",1
"default","v",1
"crotalidae","n",1
"mercenaria mercenaria","n",1
"genus marmota","n",1
"leitmotiv","n",1
"william tindal","n",1
"irrational","n",1
"blinder","n",1
"grenadine","n",1
"salience","n",1
"liplike","s",1
"rubus trivialis","n",1
"thermolabile","s",1
"simmpleness","n",1
"jiujitsu","n",1
"trial","n",6
"imaginativeness","n",1
"ontogenetic","a",1
"head and shoulders above","r",1
"perforate","v",2
"nonvenomous","s",1
"footling","s",1
"humourous","a",1
"selkup","n",2
"arundo richardii","n",1
"hang glide","v",1
"master","n",10
"fig tree","n",1
"oracle of apollo","n",1
"chasidim","n",1
"13","n",1
"streptomycin","n",1
"baby's bed","n",1
"strong-smelling","s",1
"breadwinner","n",1
"russian tumbleweed","n",1
"femoral biceps","n",1
"roman fleuve","n",1
"plop","v",3
"hindquarters","n",2
"toll collector","n",1
"ring finger","n",1
"ependyma","n",1
"telugu","n",2
"baron wilhelm von humboldt","n",1
"geglossaceae","n",1
"looping ill","n",1
"shear","n",2
"mt","n",4
"scratch race","n",1
"dwarf russian almond","n",1
"arulo","n",1
"personal memory","n",1
"animator","n",2
"tobias george smollett","n",1
"osmanthus","n",1
"fundamentalist","a",2
"alkalimetry","n",1
"alveolar ridge","n",1
"compulsive","s",2
"patrician","s",2
"prenatal","a",1
"marginally","r",1
"predominance","n",2
"insipidly","r",1
"misshapen","s",1
"superimposed","s",2
"ten-day fern","n",1
"crass","s",1
"marrowfat pea","n",1
"1960s","n",1
"change of location","n",1
"sheffield","n",1
"vilna","n",1
"characidae","n",1
"cyperus","n",1
"positioning","n",1
"hydroelectricity","n",1
"genus tunga","n",1
"sea scout","n",1
"quirk molding","n",1
"line engraving","n",2
"impeccant","s",1
"spiritual jewel","n",1
"major affective disorder","n",1
"ionic","a",3
"kumquat","n",2
"guild socialism","n",1
"voluntary","n",2
"quercus ellipsoidalis","n",1
"shirtdress","n",1
"asclepias exaltata","n",1
"sewing kit","n",1
"morrison remick waite","n",1
"storm","v",5
"anomalops","n",1
"pipal","n",1
"popularization","n",2
"stephen samuel wise","n",1
"no man's land","n",3
"avoirdupois weight","n",1
"smiler","n",2
"mumblety-peg","n",1
"interpret","v",6
"legibility","n",2
"grandchild","n",1
"blindfold","s",1
"mercurial ointment","n",1
"educational program","n",1
"reeve","v",3
"intuitive feeling","n",1
"passing","n",7
"hot","s",19
"refill","n",2
"rack","v",11
"square up","v",3
"renowned","s",1
"inaptness","n",1
"european economic community","n",1
"frumpy","s",1
"likewise","r",3
"at odds","s",1
"normal","a",3
"unkeyed","a",1
"french vermouth","n",1
"mastopexy","n",1
"genus leiophyllum","n",1
"blare","n",1
"john chapman","n",1
"abactinal","a",1
"nuclear magnetic resonance","n",1
"war party","n",2
"euglenophyta","n",1
"peziza domicilina","n",1
"dramatist","n",1
"whiplike","a",1
"gerea canescens","n",1
"runtiness","n",1
"cartridge paper","n",2
"breathalyser","n",1
"nierembergia rivularis","n",1
"carboxylic","a",1
"snatch","n",5
"harrod","n",2
"finger cymbals","n",1
"sir yehudi menuhin","n",1
"term","v",1
"genus pseudocolus","n",1
"astheny","n",1
"social democratic party","n",1
"genus aristolochia","n",1
"scratchpad","n",1
"generation x","n",1
"genus eliomys","n",1
"matoaka","n",1
"paprika sauce","n",1
"arrowhead","n",1
"woodland caribou","n",1
"rustler","n",1
"deepness","n",4
"hedge","n",3
"indignant","s",1
"sadomasochistic","a",1
"lay waste to","v",1
"verbal","s",3
"industrialised","s",1
"happily","r",2
"just right","r",1
"pattern","v",2
"chanceful","s",1
"wisp","n",4
"bamboozle","v",1
"capture","v",6
"tie-on","s",1
"unpromising","s",1
"awful","s",5
"irately","r",1
"goldcrest","n",1
"secret","s",11
"slip friction clutch","n",1
"genus albizia","n",1
"southern crab apple","n",1
"pashtun","n",2
"orycteropodidae","n",1
"medical extern","n",1
"prudishness","n",1
"herb mercury","n",1
"concrete","v",2
"butterfly","n",2
"wire printer","n",1
"varnish","n",1
"summit","n",3
"oxidization","n",1
"genus urosaurus","n",1
"uzbek","n",3
"bingo","n",1
"well-bound","s",1
"deciduous holly","n",1
"father of the submarine","n",1
"sandbank","n",1
"h","n",5
"prototherian","n",1
"silky-leaved","s",1
"glossodia","n",1
"printing","n",4
"deal","n",9
"on-the-spot","s",1
"water system","n",2
"together","r",6
"distressingness","n",1
"multilaterally","r",1
"basophilia","n",1
"trespass on the case","n",1
"demonise","v",1
"tyrannical","s",2
"economic process","n",1
"rock spikemoss","n",1
"broom beard grass","n",1
"haematogenesis","n",1
"ojibwa","n",2
"dipodomys phillipsii","n",1
"micrometeoric","a",1
"active trust","n",1
"genus hygrocybe","n",1
"pecker","n",3
"freight liner","n",1
"passion","n",7
"golgi","n",1
"swedish mile","n",1
"crowfoot grass","n",1
"genus plumbago","n",1
"enterpriser","n",1
"coast rhododendron","n",1
"chiasma opticum","n",1
"pholistoma","n",1
"barograph","n",1
"shlock","n",1
"adps","n",1
"undelineated","a",1
"venae dorsales clitoridis superficiales","n",1
"hare","n",2
"foxglove family","n",1
"gaussian","a",1
"blare","v",2
"smooth out","v",1
"country-style","s",1
"pit","v",3
"roll up","v",7
"disagreeably","r",1
"seemly","s",1
"algid","s",1
"orally","r",2
"go through the motions","v",1
"rigour","n",3
"topic","n",2
"superannuated","s",2
"robert burns woodward","n",1
"south american bullfrog","n",1
"blighty wound","n",1
"antimicrobic","s",1
"contumelious","s",1
"jury box","n",1
"transit declinometer","n",1
"spice rack","n",1
"lysis","n",2
"gas oven","n",2
"toggle","v",3
"homestretch","n",2
"chondrus","n",1
"dayton ax","n",1
"ian wilmut","n",1
"possible","n",2
"sauropodomorpha","n",1
"halogeton","n",1
"russula","n",1
"leptodactylid","n",1
"submerge","v",4
"big marigold","n",1
"endometrial","a",1
"hair slide","n",1
"franche-comte","n",1
"bernhardt","n",1
"half sister","n",1
"gauze","n",2
"da gamma","n",1
"pithecolobium","n",1
"dean","n",4
"progressive","a",2
"major fast day","n",1
"childishness","n",1
"setscrew","n",2
"lard","v",2
"burst forth","v",3
"deficiency","n",2
"back","v",10
"grimy","s",1
"salt","v",4
"divided up","s",1
"cost","n",3
"preserver","n",4
"board","v",4
"bellied","s",1
"thyroid-stimulating hormone","n",1
"genus coniogramme","n",1
"genus sambucus","n",1
"bravo","v",1
"congenerical","a",1
"grand mal","n",2
"centerfielder","n",1
"dr. johnson","n",1
"edwardian","n",1
"belarusian","n",1
"protectorate","n",1
"family argasidae","n",1
"kara kum","n",1
"judicial writ","n",1
"turin","n",1
"vinification","n",1
"persian deity","n",1
"lapidarist","n",1
"feed back","v",2
"suckling","n",4
"hydrodynamics","n",1
"bourne","n",2
"amyotonia","n",1
"pudding","n",3
"hypericum hypericoides","n",1
"felis wiedi","n",1
"marathi","n",1
"suborder carnosaura","n",1
"ascetic","s",1
"trusted","s",1
"supernal","s",1
"artistic","a",1
"longtime","s",1
"probe","n",4
"backward","a",2
"on the contrary","r",1
"quest for","v",1
"sparkler","n",2
"fall-board","n",1
"crematory","n",2
"proctalgia","n",1
"commuting","n",1
"foster-nurse","n",1
"community service","n",2
"garnet-coloured","s",1
"non compos mentis","s",1
"resonate","v",2
"rightfield","n",2
"orange-red","s",1
"pomade","n",1
"illiteracy","n",2
"genus triceratops","n",1
"bikini pants","n",1
"wantonness","n",2
"acholia","n",1
"degas","n",1
"isogram","n",1
"slight","n",1
"cabala","n",2
"screed","n",3
"inattention","n",1
"warrantee","n",3
"sao thome e principe monetary unit","n",1
"printer's devil","n",1
"primula elatior","n",1
"chervil","n",2
"pruning","n",2
"gyrus cinguli","n",1
"family erethizontidae","n",1
"soutane","n",1
"hydroxybenzene","n",1
"barbecued","s",1
"sweatshop","n",1
"invert sugar","n",1
"stodgy","s",3
"transcendental","s",1
"callipygous","s",1
"architectural","a",1
"lady","n",3
"close off","v",3
"submit","v",10
"wisplike","s",1
"one-humped","a",1
"dare","v",3
"exciting","s",1
"fissiparous","s",2
"behave","v",3
"diamond","n",6
"signature","n",5
"abstractness","n",1
"pathology","n",2
"corrupt","a",2
"action officer","n",1
"seiurus","n",1
"chordate family","n",1
"sepulture","n",2
"sealskin","n",2
"position","v",2
"sangay","n",1
"particle","n",3
"concave polyhedron","n",1
"portuguese man-of-war","n",1
"animal foot","n",1
"capital of iran","n",1
"gabriel lippmann","n",1
"watt-hour","n",1
"rock island","n",1
"simoom","n",1
"hospital room","n",1
"mercurialis annua","n",1
"platonism","n",1
"d.p.r.k.","n",1
"el nino southern oscillation","n",1
"ipsus","n",1
"groschen","n",1
"taro root","n",1
"berberis vulgaris","n",1
"bicipital","a",1
"labor force","n",1
"mainframe computer","n",1
"system administrator","n",1
"clubfooted","s",1
"street urchin","n",1
"heterosomata","n",1
"gassy","s",2
"aneurismatic","a",1
"waterbird","n",1
"revalue","v",2
"manifest","v",3
"storied","s",2
"unmeasured","s",2
"familiarise","v",1
"lead off","v",2
"upper","s",3
"air-to-air","a",1
"edition","n",4
"prudent","a",1
"superb","s",2
"visually","r",1
"automobile loan","n",1
"acarpellous","a",1
"leaf mustard","n",2
"clean-limbed","s",1
"revetement","n",1
"john simmons barth","n",1
"moorfowl","n",1
"head nurse","n",1
"reprehensibility","n",1
"john speke","n",1
"master of arts","n",1
"iron mold","n",1
"typhoid bacillus","n",1
"eleostearic acid","n",1
"inordinateness","n",1
"peach","n",4
"saint francis xavier","n",1
"bean","n",4
"order graminales","n",1
"spanish gorse","n",1
"noncollapsible","a",1
"american sable","n",1
"love child","n",1
"alto saxophonist","n",1
"collaborationism","n",1
"genus saxifraga","n",1
"scanty","n",1
"client","n",3
"dynamo","n",1
"centropristis philadelphica","n",1
"tableau","n",2
"cursorius cursor","n",1
"clog","n",3
"jewess","n",1
"purple-eyed","s",1
"pornography","n",1
"fix","v",12
"take over","v",8
"gravely","r",2
"cloy","v",2
"incompletely","r",1
"illustration","n",4
"pain","n",5
"caught up","s",1
"extremum","n",2
"smitten","s",2
"miasma","n",2
"toll","v",2
"nonlegal","s",1
"sociable","a",1
"wolfram steel","n",1
"liverleaf","n",1
"saurel","n",2
"fahd ibn abdel aziz al-saud","n",1
"lichen ruber planus","n",1
"pupil","n",3
"felis onca","n",1
"dithering","n",1
"king devil","n",1
"neurolinguistics","n",1
"uvulitis","n",1
"genus rhinonicteris","n",1
"rosy boa","n",1
"ingenuousness","n",2
"fat cat","n",1
"bede","n",1
"dg","n",1
"order isoptera","n",1
"medicinal leech","n",1
"phylloxera","n",1
"rotten borough","n",1
"cavia","n",1
"indiana","n",2
"sable coat","n",1
"sheath","n",3
"neutrophile","n",1
"seigneur de bayard","n",1
"namtar","n",1
"genus palinurus","n",1
"wheel fiddle","n",1
"concerned","s",2
"operationally","r",1
"hoard","v",2
"hike","n",3
"ultra","s",1
"infiltration","n",2
"postwar","a",1
"shallow","a",2
"ample","a",1
"cottage tent","n",1
"hanky panky","n",1
"out-of-court settlement","n",1
"tentaculata","n",1
"maori hen","n",1
"pyralis","n",1
"herculius","n",1
"arabic alphabet","n",1
"rue family","n",1
"dilatory plea","n",1
"family dactylopteridae","n",1
"pueraria lobata","n",1
"incontestible","a",1
"riveter","n",2
"phasmatodea","n",1
"cassia javonica","n",1
"skin patch","n",1
"kerosine","n",1
"slave ant","n",1
"partial","a",1
"one-flowered wintergreen","n",1
"degrader","n",1
"civil time","n",1
"slideway","n",1
"kolonia","n",1
"cambria","n",1
"safaqis","n",1
"abnormalcy","n",1
"scalar","n",1
"criminal intelligence services of canada","n",1
"retransmit","v",1
"corsica","n",2
"mitre","n",3
"diminish","v",2
"elizabethan","a",1
"historical","s",2
"sulk","n",1
"slam-bang","s",1
"tolerable","s",1
"resultant","n",3
"closure","v",1
"ram","v",4
"brand-new","s",1
"potent","s",2
"inopportunely","r",1
"cut out","s",1
"worrisome","s",1
"decoding","n",1
"nonparticulate radiation","n",1
"refrain","n",1
"maimer","n",1
"aegadean islands","n",1
"coronal suture","n",1
"vena bulbi vestibuli","n",1
"leopard plant","n",1
"psychopsis papilio","n",1
"aberration","n",3
"buttery","n",2
"rain tree","n",1
"prime interest rate","n",1
"blennioidea","n",1
"file","n",4
"chemotherapy","n",1
"nikolai vasilievich gogol","n",1
"tallow oil","n",1
"underdressed","s",1
"aridity","n",2
"tribasic sodium phosphate","n",1
"initialisation","n",1
"lauritz lebrecht hommel melchior","n",1
"wild potato","n",1
"nectar","n",3
"retroflexion","n",3
"gothic romancer","n",1
"sand sedge","n",1
"seesaw","v",3
"ion exchange","n",1
"sloanea","n",1
"dairyman","n",2
"surfeit","v",2
"recess","v",3
"providential","a",1
"babble","v",4
"seismic disturbance","n",1
"coapt","v",2
"plug away","v",2
"animalculum","n",1
"bad hat","n",1
"vasa vasorum","n",1
"government building","n",1
"monmouth court house","n",1
"squeal","n",1
"economic condition","n",1
"koala bear","n",1
"irritable bowel syndrome","n",1
"john thomas scopes","n",1
"conservator-ward relation","n",1
"lagopus","n",1
"cid","n",1
"monothelitism","n",1
"stately","s",3
"table tennis","n",1
"fringilla montifringilla","n",1
"black-capped chickadee","n",1
"glove","n",3
"oligarchical","a",1
"nucleolar organizer","n",1
"integrative","s",1
"paul tillich","n",1
"woodiness","n",2
"genip","n",2
"black-necked cobra","n",1
"tallish","s",1
"al-qaida","n",1
"metrology","n",1
"artillery","n",3
"gutta-percha","n",1
"fish joint","n",1
"biotechnology","n",2
"uncharacteristically","r",1
"result","n",4
"open-air","s",1
"submersible","a",1
"anglicize","v",1
"godlike","s",2
"jacobinic","a",1
"to one ear","r",1
"norman","a",2
"auto loan","n",1
"selectivity","n",1
"strake","n",1
"adenopathy","n",1
"aristolochiaceae","n",1
"tea parlor","n",1
"genus leucaena","n",1
"graft","n",3
"nin-sin","n",1
"sewing-machine stitch","n",1
"cosa nostra","n",1
"etiology","n",2
"bromthymol blue","n",1
"mustelus mustelus","n",1
"ottmar mergenthaler","n",1
"bolete","n",1
"black buck","n",1
"prunus cerasifera","n",1
"pitsaw","n",1
"nonwashable","a",1
"iceland spar","n",1
"hmong","n",2
"sidalcea","n",1
"bush honeysuckle","n",3
"clappers","n",1
"enteric bacteria","n",1
"propenoate","n",1
"electromyogram","n",1
"separation","n",9
"sagina","n",1
"broadleaf","s",1
"eptesicus serotinus","n",1
"genus pickeringia","n",1
"pollution","n",3
"nitpick","v",1
"maidhood","n",1
"capital of the dominican republic","n",1
"lean","a",2
"news program","n",1
"reel","v",3
"aerophilous","a",1
"analogously","r",1
"swan","v",3
"bibulous","s",1
"synecdochical","s",1
"waterleaf","n",1
"chaetodipterus faber","n",1
"protanopia","n",1
"giovanni jacopo casanova","n",1
"pantograph","n",1
"potpourri","n",3
"genus euproctis","n",1
"beleaguering","n",1
"wold","n",1
"genus junco","n",1
"greek monetary unit","n",1
"yemeni monetary unit","n",1
"hualapai","n",2
"checkrow","v",1
"spergula arvensis","n",1
"tetanus antitoxin","n",1
"denseness","n",3
"afterpains","n",1
"physalia","n",1
"genus diphylla","n",1
"damask","n",2
"fasciolosis","n",1
"earmark","n",2
"histoincompatibility","n",1
"admiration","n",3
"angel shark","n",1
"hardball","n",2
"chilling","n",1
"cuban sandwich","n",1
"shiver","v",2
"defense contractor","n",1
"rich man","n",1
"taboret","n",1
"storm-tossed","s",1
"dish antenna","n",1
"humphrey davy","n",1
"desk officer","n",1
"hollowness","n",3
"customise","v",2
"sanction","n",4
"shakeout","n",1
"cast-iron","s",1
"explosively","r",2
"dreamily","r",1
"uncharacteristic","a",1
"muggy","s",1
"summa cum laude","s",1
"tilia americana","n",1
"coconut water","n",1
"family lycoperdaceae","n",1
"meadow fescue","n",1
"dimity","n",1
"asia minor","n",1
"phoeniculus","n",1
"sense of balance","n",1
"velvetweed","n",1
"grail","n",2
"granite state","n",1
"bearing wall","n",1
"re-incorporate","v",1
"clavariaceae","n",1
"civil engineer","n",1
"command guidance","n",1
"equivalent weight","n",1
"calisthenic","a",1
"israeli defense force","n",1
"piece-dye","v",1
"hierarchical structure","n",1
"spur wheel","n",1
"sequencer","n",2
"vasoconstriction","n",1
"carrying charge","n",2
"embarkation","n",1
"leading astray","n",1
"onerously","r",1
"hammer","n",8
"scad","n",1
"isocyanic acid","n",1
"erato","n",1
